second,packet_drop_rate,byte_drop_rate,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,vmaf,exp_id,video,problem,value
11.0,0.0,0.0272,0.0042,0.0125,2.7351,5.6461,100.0,4662,scarlet,good,0
12.0,0.0,0.0274,0.0038,0.012,2.8852,6.4992,100.0,4662,scarlet,good,0
13.0,0.0,0.0273,0.0039,0.0121,2.8571,6.3387,99.91600752380953,4662,scarlet,good,0
14.0,0.0,0.0272,0.0036,0.0117,3.0482,7.5347,97.97501231818183,4662,scarlet,good,0
15.0,0.0,0.0273,0.0044,0.0128,2.6171,5.0079,98.09195186363637,4662,scarlet,good,0
16.0,0.0,0.0271,0.0051,0.0136,2.3642,3.7333,98.706783,4662,scarlet,good,0
17.0,0.0,0.0273,0.0032,0.011,3.2592,8.8286,100.0,4662,scarlet,good,0
18.0,0.0,0.0273,0.0041,0.0124,2.7144,5.5004,100.0,4662,scarlet,good,0
19.0,0.0,0.0276,0.0034,0.0114,3.0979,7.8268,100.0,4662,scarlet,good,0
20.0,0.0,0.0275,0.0035,0.0116,3.0487,7.4798,100.0,4662,scarlet,good,0
21.0,-0.0033,0.0271,0.0033,0.0112,3.2059,8.4767,100.0,4662,scarlet,good,0
22.0,0.0,0.0271,0.0042,0.0125,2.7135,5.5297,100.0,4662,scarlet,good,0
23.0,0.0,0.0271,0.0039,0.0121,2.8499,6.2985,99.43994772727272,4662,scarlet,good,0
24.0,0.0286,0.0486,0.0184,0.0211,0.2902,-1.9638,99.04429377272727,4662,scarlet,good,0
1.0,0.0,0.0273,0.0025,0.0097,3.7704,12.503,99.87753576190478,4619,scarlet,good,0
2.0,0.0,0.0275,0.0036,0.0116,3.0081,7.2506,100.0,4619,scarlet,good,0
3.0,0.0,0.0274,0.0037,0.0118,2.9704,6.999,100.0,4619,scarlet,good,0
4.0,0.0,0.0274,0.0034,0.0113,3.1376,8.0338,100.0,4619,scarlet,good,0
5.0,-0.0035,0.0273,0.0035,0.0116,3.0474,7.4679,100.0,4619,scarlet,good,0
6.0,0.0,0.0275,0.0035,0.0115,3.0556,7.5222,100.0,4619,scarlet,good,0
7.0,0.0,0.0274,0.0036,0.0117,3.0002,7.1838,100.0,4619,scarlet,good,0
8.0,0.0,0.0275,0.0035,0.0114,3.0914,7.7474,100.0,4619,scarlet,good,0
9.0,0.0,0.0276,0.0036,0.0117,2.984,7.0803,100.0,4619,scarlet,good,0
10.0,0.0,0.0275,0.0035,0.0115,3.0767,7.6536,100.0,4619,scarlet,good,0
11.0,0.0,0.0272,0.0041,0.0125,2.7343,5.6405,100.0,4619,scarlet,good,0
12.0,0.0,0.0274,0.0038,0.012,2.8855,6.502,100.0,4619,scarlet,good,0
13.0,0.0,0.0273,0.0039,0.0121,2.8553,6.3255,99.91600752380953,4619,scarlet,good,0
14.0,0.0,0.0272,0.0036,0.0117,3.0133,7.26,97.97501231818183,4619,scarlet,good,0
15.0,0.0,0.0273,0.0044,0.0128,2.6155,4.995,98.09195186363637,4619,scarlet,good,0
16.0,0.0,0.0271,0.0051,0.0137,2.3615,3.7139,98.706783,4619,scarlet,good,0
17.0,0.0,0.0273,0.0032,0.011,3.2567,8.8045,100.0,4619,scarlet,good,0
18.0,0.0,0.0273,0.0042,0.0125,2.7181,5.5285,100.0,4619,scarlet,good,0
19.0,0.0,0.0276,0.0035,0.0116,3.0466,7.46,100.0,4619,scarlet,good,0
20.0,0.0,0.0275,0.0035,0.0116,3.0492,7.4843,100.0,4619,scarlet,good,0
21.0,0.0,0.0273,0.0033,0.0112,3.1985,8.4259,100.0,4619,scarlet,good,0
22.0,0.0,0.0271,0.0042,0.0125,2.7081,5.488,100.0,4619,scarlet,good,0
23.0,0.0,0.0271,0.0039,0.0121,2.8469,6.2737,99.43994772727272,4619,scarlet,good,0
24.0,0.0286,0.0486,0.0184,0.0211,0.2898,-1.9647,99.04429377272727,4619,scarlet,good,0
1.0,0.0,0.0273,0.0025,0.0096,3.791,12.7,99.87753576190478,4253,scarlet,drop,2.10
2.0,0.0,0.0276,0.0036,0.0117,3.0014,7.1951,100.0,4253,scarlet,drop,2.10
3.0,0.0,0.0274,0.0037,0.0118,2.971,7.0053,29.726033136363636,4253,scarlet,drop,2.10
4.0,0.0337,0.0614,0.0035,0.0114,3.1415,8.111,8.119586045454547,4253,scarlet,drop,2.10
5.0,0.0495,0.0752,0.0037,0.0115,2.963,6.9744,0.758744380952381,4253,scarlet,drop,2.10
6.0,0.0246,0.0525,0.0036,0.0114,3.045,7.5036,0.8594868636363636,4253,scarlet,drop,2.10
7.0,0.0397,0.0678,0.0038,0.0117,2.9577,6.9763,1.961843409090909,4253,scarlet,drop,2.10
8.0,0.0448,0.0728,0.0036,0.0114,3.0374,7.459,2.2003311363636358,4253,scarlet,drop,2.10
9.0,0.0327,0.0597,0.0038,0.0117,2.9545,6.9604,6.287678857142858,4253,scarlet,drop,2.10
10.0,0.0417,0.0666,0.0036,0.0115,3.0274,7.395,6.238637636363635,4253,scarlet,drop,2.10
11.0,0.0207,0.0484,0.0042,0.0124,2.7255,5.6326,6.388600500000001,4253,scarlet,drop,2.10
12.0,0.0421,0.0703,0.004,0.012,2.831,6.2144,4.815301772727273,4253,scarlet,drop,2.10
13.0,0.0506,0.0758,0.0041,0.0122,2.7858,5.9564,4.6338878095238085,4253,scarlet,drop,2.10
14.0,0.0287,0.0561,0.0037,0.0116,2.9988,7.2053,0.29421509090909087,4253,scarlet,drop,2.10
15.0,0.0398,0.0652,0.0046,0.0135,2.9372,7.9902,5.587537772727273,4253,scarlet,drop,2.10
16.0,0.0255,0.0536,0.0052,0.0136,2.3472,3.6797,3.1032285,4253,scarlet,drop,2.10
17.0,0.0254,0.0526,0.0033,0.0109,3.2337,8.7109,8.988021,4253,scarlet,drop,2.10
18.0,0.0333,0.0573,0.0043,0.0123,2.6687,5.2721,6.868306590909091,4253,scarlet,drop,2.10
19.0,0.0458,0.0729,0.0037,0.0116,2.9873,7.1572,5.2872212272727275,4253,scarlet,drop,2.10
20.0,0.0141,0.0418,0.0036,0.0114,3.0501,7.5425,5.240367227272726,4253,scarlet,drop,2.10
21.0,0.0425,0.0697,0.0034,0.0111,3.1498,8.1524,5.666287095238095,4253,scarlet,drop,2.10
22.0,0.0504,0.0784,0.0044,0.0126,2.6545,5.2441,2.9834050454545458,4253,scarlet,drop,2.10
23.0,0.0508,0.0783,0.0041,0.0122,2.7923,6.0077,1.2580190454545457,4253,scarlet,drop,2.10
24.0,0.0857,0.1134,0.0183,0.0211,0.3097,-1.9543,1.0098992272727272,4253,scarlet,drop,2.10
1.0,0.0335,0.0598,0.0026,0.0098,3.714,12.1278,74.63515247619047,3959,scarlet,delay,580
2.0,0.0,0.0276,0.0036,0.0117,2.9977,7.1613,22.10903790909091,3959,scarlet,delay,580
3.0,0.0,0.0274,0.0037,0.0118,2.9716,7.0102,33.85784509090909,3959,scarlet,delay,580
4.0,0.6229,0.6465,0.0063,0.015,2.0008,2.118,81.30731690909091,3959,scarlet,delay,580
5.0,0.1343,0.1494,0.0054,0.0408,14.2324,214.5993,54.21950245454545,3959,scarlet,delay,580
6.0,-0.0211,0.0355,0.0033,0.011,3.2203,8.6148,9.176505909090908,3959,scarlet,delay,580
7.0,-0.1264,-0.0077,0.0032,0.0108,3.2723,8.9414,22.723760000000002,3959,scarlet,delay,580
8.0,0.0483,0.0762,0.0036,0.0115,3.0258,7.3732,46.216249499999996,3959,scarlet,delay,580
9.0,0.0072,0.0281,0.0036,0.0115,3.0321,7.4262,43.53125322727272,3959,scarlet,delay,580
10.0,-0.0667,-0.0337,0.0033,0.011,3.2244,8.6615,29.754930363636365,3959,scarlet,delay,580
11.0,-0.1079,-0.0643,0.0039,0.0118,2.8643,6.3679,25.591343681818184,3959,scarlet,delay,580
12.0,0.0268,0.0625,0.0039,0.0119,2.8612,6.3938,21.060076136363637,3959,scarlet,delay,580
13.0,0.0039,0.0362,0.0039,0.0119,2.8804,6.5093,19.859200714285713,3959,scarlet,delay,580
14.0,0.0,0.0445,0.0036,0.0114,3.0503,7.5365,21.981423181818183,3959,scarlet,delay,580
15.0,-0.3053,-0.0201,0.0034,0.0112,3.2026,8.4812,81.61509095454545,3959,scarlet,delay,580
